"date","description","vendor","amount","currency","primary_tag","work_scope_level","hak_edis_policy","is_hak_edis_eligible","hak_edis_amount","CRM_STATUS","CRM_REVIEW_REQUIRED","HAK_EDIS_AUTO_INFER"
"","Gökhan virman | 24.09.2024 | 1.188,00 €","","24092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 27.09.2024 | 1.426,00 € | Sac kesim ve büküm nakliye dahil | 27.09.2024 | 1.426,00 €","","27092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 27.09.2024 | 370,00 € | 5.kalem kıç bölümü | 29.09.2024 | 49.250,00 €","","27092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Vidanjör | 30.09.2024 | 184,00 €","","30092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac nakliye | 1.10.2024 | 526,00 €","","1102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Vinç | 1.10.2024 | 223,00 €","","1102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak teli | 4.10.2024 | 631,00 €","","4102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 4.10.2024 | 18.500,00 € | Tesisatçı avans | 4.10.2024 | 2.666,00 €","","4102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Liman elektrik su vinç girişi | 7.09.2024 | 1.200,00 €","","7092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman Baran | 8.10.2024 | 5.000,00 € | Baran akalın | 11.10.2024 | 5.000,00 €","","8102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 8.10.2024 | 13.600,00 € | 6. Kalem sac işi  | 11.10.2024 | 4.950,00 €","","8102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","7. Kalem sac işi | 1.232,00 €","","1232","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 16.10.2024 | 14.000,00 € | Kumlama avans | 16.10.2024 | 13.900,00 €","","16102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 16.10.2024 | 9.066,00 €","","16102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman 406440tl | 17.10.2024 | 10.838,00 € | Malzeme bedeli | 17.10.2024 | 10.838,00 €","","17102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Vinç | 17.10.2024 | 275,00 €","","17102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 18.10.2024 | 5.786,00 € | International astar | 18.10.2024 | 5.786,00 €","","18102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 22.10.2024 | 15.466,00 € | İlave saclar | 23.10.2024 | 4.053,00 €","","22102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane işçi güvenlik malz | 23.10.2024 | 720,00 €","","23102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 31.10.2024 | 16.000,00 € | Ergin denizc vinç pass ön ödeme | 31.10.2024 | 16.000,00 €","","31102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 31.10.2024 | 14.133,00 € | Tesisat malzemeleri | 31.10.2024 | 1.333,00 €","","31102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Yan alt sac değişimi | 31.10.2024 | 2.300,00 €","","31102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 6.11.2024 | 6.444,00 € | Kaynak gazı | 31.10.2024 | 693,00 €","","6112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","1,5 plaka sac 6 mm | 31.10.2024 | 906,00 €","","31102024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","8. Kalem sac işi | 1.11.2024 | 2.300,00 €","","1112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","9. Kalem sac işi | 1.11.2024 | 5.675,00 €","","1112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","10. Kalem sac işi | 1.11.2024 | 4.054,00 €","","1112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 11.11.2024 | 16.621,00 € | Elektrik su forklift tersaneye | 8.11.2024 | 1.810,00 €","","11112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama işçilik 2. Ödeme | 11.11.2024 | 5.000,00 €","","11112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kıç taşıyıcı L lamalar | 11.11.2024 | 599,00 €","","11112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","11. Kalem sac işi | 14.11.2024 | 9.250,00 €","","14112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","2,5 plaka sac ön taraf için | 14.11.2024 | 1.150,00 €","","14112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden 47000$ | 21.11.2024 | 45.500,00 € | Tesisatçılar ödeme | 14.11.2024 | 1.500,00 €","","21112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 21.11.2024 | 10.510,00 € | Sac alımı ön taraf | 21.11.2024 | 45.500,00 €","","21112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gazlar | 21.11.2024 | 890,00 €","","21112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Hangar uzatma malzeme | 22.11.2024 | 1.445,00 €","","22112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak teli | 22.11.2024 | 885,00 €","","22112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 27.11.2024 | 13.287,00 € | Köşebent 60mt | 22.11.2024 | 540,00 €","","27112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama | 4.000,00 €","","4000","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Liman elektrik su vinç girişi | 27.11.2024 | 726,00 €","","27112024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Branda 160 m2 | 1.12.2024 | 3.506,00 €","","1122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Hangar sac işçiliği | 2.12.2024 | 3.287,00 €","","2122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","12. Kalem sac işi | 2.12.2024 | 3.200,00 €","","2122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 4.12.2024 | 5.553,00 € | Yalova sac kesim 316 krom | 4.12.2024 | 5.553,00 €","","4122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 4.12.2024 | 12.876,00 € | Vinc | 4.12.2024 | 645,00 €","","4122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gaz, kaynak teli vs  | 5.12.2024 | 2.421,00 €","","5122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 11.12.2024 | 18.157,00 € | Yalova sac nakliye vinç | 6.12.2024 | 945,00 €","","11122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama | 11.12.2024 | 4.000,00 €","","11122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat | 11.12.2024 | 2.710,00 €","","11122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 17.12.2024 | 23.673,00 € | Üst kısım sac işleri avans | 11.12.2024 | 8.130,00 €","","17122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak ve sarf malzeme | 17.12.2024 | 3.482,00 €","","17122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik forklift vs | 17.12.2024 | 1.566,00 €","","17122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat malzeme | 17.12.2024 | 3.814,00 €","","17122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama işçilik  | 17.12.2024 | 2.500,00 €","","17122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Üst kısım sac işleri  | 17.12.2024 | 12.261,00 €","","17122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 20.12.2024 | 39.000,00 € | Webasto ön ödeme | 20.12.2024 | 39.000,00 €","","20122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Boru işçiliği | 23.12.2024 | 3.000,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac işçiliği | 23.12.2024 | 17.166,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 23.12.2024 | 4.032,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Elektrik pano sistem haz avans | 23.12.2024 | 5.000,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 23.12.2024 | 3.269,00 € | Boru ek malzemeler krom | 23.12.2024 | 3.269,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 23.12.2024 | 4.087,00 € | İmalat malzeme sarf | 23.12.2024 | 4.087,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 23.12.2024 | 4.465,00 € | Ateşmarin sigorta yıllık evraklar | 23.12.2024 | 4.465,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 25.12.2024 | 33.814,00 € | Ek sac ve büküm  | 23.12.2024 | 3.705,00 €","","25122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama işçilik | 23.12.2024 | 3.000,00 €","","23122024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 3.01.2025 | 29.972,00 € | Sac işçiliği | 3.01.2025 | 9.536,00 €","","3012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak malzemeleri | 3.01.2025 | 3.596,00 €","","3012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat malzeme işçilik | 3.01.2024 | 8.828,00 €","","3012024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac 3 plaka nakliye | 3.01.2025 | 1.687,00 €","","3012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama | 3.01.2025 | 3.000,00 €","","3012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane vinç elektr | 3.01.2025 | 2.615,00 €","","3012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 5.01.2025 | 13.623,00 € | Baran akalın | 3.01.2025 | 13.623,00 €","","5012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 7.01.2025 | 1.377,00 € | Baran akalın | 7.01.2025 | 1.377,00 €","","7012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 7.01.2025 | 4.236,00 € | Tesisat malzemesi | 7.01.2025 | 4.236,00 €","","7012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
